SID,Year,ASJC,Description,SJR,Quartile,Percentile
12155,2023,3104,Condensed Matter Physics,0.192,4,14
12156,2023,2204,Biomedical Engineering,0.779,2,69
12156,2023,2502,Biomaterials,0.779,2,61
12156,2023,2504,"Electronic, Optical and Magnetic Materials",0.779,2,74
12156,2023,3107,"Atomic and Molecular Physics, and Optics",0.779,1,75
12157,2023,1606,Physical and Theoretical Chemistry,0.506,2,54
12157,2023,1607,Spectroscopy,0.506,2,51
12157,2023,2504,"Electronic, Optical and Magnetic Materials",0.506,2,57
12157,2023,3104,Condensed Matter Physics,0.506,2,60
12157,2023,3107,"Atomic and Molecular Physics, and Optics",0.506,2,58
12157,2023,3108,Radiation,0.506,2,63
12159,2023,3201,Psychology (miscellaneous),1.738,1,91
12159,2023,3202,Applied Psychology,1.738,1,85
12159,2023,3207,Social Psychology,1.738,1,91
12160,2023,2204,Biomedical Engineering,0.422,3,39
12160,2023,2504,"Electronic, Optical and Magnetic Materials",0.422,3,46
12160,2023,3105,Instrumentation,0.422,3,46
12160,2023,3107,"Atomic and Molecular Physics, and Optics",0.422,3,48
12162,2023,1104,Aquatic Science,0.355,3,41
12163,2023,1201,Arts and Humanities (miscellaneous),0.823,1,88
12163,2023,2805,Cognitive Neuroscience,0.823,2,54
12163,2023,3204,Developmental and Educational Psychology,0.823,2,63
12163,2023,3205,Experimental and Cognitive Psychology,0.823,2,63
12163,2023,3206,Neuropsychology and Physiological Psychology,0.823,2,71
12164,2023,2805,Cognitive Neuroscience,0.881,2,55
12164,2023,3205,Experimental and Cognitive Psychology,0.881,2,68
12164,2023,3310,Linguistics and Language,0.881,1,92
12164,2023,3616,Speech and Hearing,0.881,1,90
12165,2023,1104,Aquatic Science,0.73,1,79
12165,2023,1105,"Ecology, Evolution, Behavior and Systematics",0.73,1,75
12165,2023,2303,Ecology,0.73,1,76
12166,2023,1701,Computer Science (miscellaneous),0.969,1,85
12166,2023,2604,Applied Mathematics,0.969,1,79
12166,2023,2611,Modeling and Simulation,0.969,1,82
12166,2023,2612,Numerical Analysis,0.969,1,79
12166,2023,2614,Theoretical Computer Science,0.969,2,71
12167,2023,1104,Aquatic Science,0.392,3,45
12167,2023,1105,"Ecology, Evolution, Behavior and Systematics",0.392,3,46
12167,2023,2303,Ecology,0.392,2,53
12169,2023,1104,Aquatic Science,0.802,1,84
12169,2023,1105,"Ecology, Evolution, Behavior and Systematics",0.802,1,79
12169,2023,2303,Ecology,0.802,1,79
12170,2023,1706,Computer Science Applications,0.469,3,45
12170,2023,1712,Software,0.469,3,42
12170,2023,2207,Control and Systems Engineering,0.469,2,52
12170,2023,2611,Modeling and Simulation,0.469,2,52
12171,2023,2211,Mechanics of Materials,0.335,3,42
12171,2023,2506,Metals and Alloys,0.335,2,57
12171,2023,2508,"Surfaces, Coatings and Films",0.335,3,41
12171,2023,3104,Condensed Matter Physics,0.335,3,37
12171,2023,3110,Surfaces and Interfaces,0.335,3,33
12172,2023,1902,Atmospheric Science,1.958,1,91
12174,2023,2202,Aerospace Engineering,0.68,2,73
12174,2023,2208,Electrical and Electronic Engineering,0.68,2,69
12175,2023,1902,Atmospheric Science,0.32,3,27
12175,2023,2301,Environmental Science (miscellaneous),0.32,3,44
12175,2023,2304,Environmental Chemistry,0.32,4,24
12177,2023,1902,Atmospheric Science,1.393,1,79
12177,2023,2306,Global and Planetary Change,1.393,1,77
12178,2023,3107,"Atomic and Molecular Physics, and Optics",1.37,1,86
12179,2023,1303,Biochemistry,0.589,3,45
12179,2023,1304,Biophysics,0.589,2,55
12179,2023,1601,Chemistry (miscellaneous),0.589,2,67
12179,2023,3104,Condensed Matter Physics,0.589,2,67
